2021-03-22 07:09:21 	13d 1h 52m 	2021-04-04 09:01:32 	0h 12m
2021-02-19 15:55:49 	30d 15h 9m 	2021-03-22 07:05:47 	0h 3m
2021-02-19 15:37:45 	0h 14m 	2021-02-19 15:52:19 	0h 3m
2021-02-10 03:36:14 	9d 12h 0m 	2021-02-19 15:36:36 	0h 1m
2021-02-02 09:40:44 	7d 17h 47m 	2021-02-10 03:27:53 	0h 8m
2021-01-27 14:12:23 	5d 19h 24m 	2021-02-02 09:36:47 	0h 3m
2021-01-19 08:59:34 	8d 5h 11m 	2021-01-27 14:10:45 	0h 1m
2021-01-10 21:59:11 	8d 10h 56m 	2021-01-19 08:55:38 	0h 3m
2021-01-02 17:22:41 	8d 4h 33m 	2021-01-10 21:56:27 	0h 2m
2021-01-02 16:40:17 	0h 38m 	2021-01-02 17:19:06 	0h 3m
2020-12-30 18:42:17 	2d 21h 55m 	2021-01-02 16:38:05 	0h 2m
2020-12-23 09:43:10 	7d 8h 53m 	2020-12-30 18:36:29 	0h 5m
2020-12-22 12:11:21 	21h 26m 	2020-12-23 09:37:51 	0h 5m
2020-12-09 00:55:57 	13d 11h 11m 	2020-12-22 12:07:49 	0h 3m
2020-11-20 15:15:15 	18d 9h 37m 	2020-12-09 00:52:20 	0h 3m
2020-11-09 23:41:23 	10d 14h 56m 	2020-11-20 14:37:29 	0h 37m
2020-11-01 23:45:02 	7d 23h 48m 	2020-11-09 23:33:47 	0h 7m
2020-11-01 23:29:46 	0h 4m 	2020-11-01 23:33:55 	0h 11m
2020-10-07 01:55:24 	25d 21h 30m 	2020-11-01 23:26:17 	0h 3m
2020-10-07 01:41:29 	0h 6m 	2020-10-07 01:48:09 	0h 7m
2020-09-27 02:00:43 	9d 23h 36m 	2020-10-07 01:37:09 	0h 4m
2020-09-25 02:41:23 	1d 23h 14m 	2020-09-27 01:56:08 	0h 4m
2020-09-14 00:08:52 	11d 1h 44m 	2020-09-25 01:52:58 	0h 48m
2020-08-30 22:03:29 	2d 2h 14m 	2020-09-02 00:17:35 	11d 23h 51m
