2021-03-20 00:42:30 	18d 4h 49m 	2021-04-07 05:31:30 	0h 3m
2021-02-02 02:18:07 	45d 22h 15m 	2021-03-20 00:33:22 	0h 9m
2020-12-22 07:12:37 	41d 18h 52m 	2021-02-02 02:04:45 	0h 13m
2020-11-20 15:17:40 	31d 15h 37m 	2020-12-22 06:55:25 	0h 17m
2020-11-08 19:10:59 	11d 19h 25m 	2020-11-20 14:36:33 	0h 41m
2020-11-08 17:22:47 	1h 42m 	2020-11-08 19:05:40 	0h 5m
2020-09-14 09:38:35 	55d 7h 32m 	2020-11-08 17:10:38 	0h 12m
2020-08-20 10:36:26 	24d 22h 50m 	2020-09-14 09:27:14 	0h 11m
2020-08-18 05:06:28 	2d 2h 50m 	2020-08-20 07:57:05 	2h 39m
2020-05-15 01:27:56 	95d 3h 38m 	2020-08-18 05:06:06 	0h 0m
2020-05-06 09:34:38 	8d 15h 50m 	2020-05-15 01:24:57 	0h 2m
2020-04-02 04:52:55 	34d 4h 41m 	2020-05-06 09:34:27 	0h 0m
2020-03-27 10:57:48 	5d 17h 54m 	2020-04-02 04:52:33 	0h 0m
2020-03-12 05:39:49 	15d 5h 16m 	2020-03-27 10:56:17 	0h 1m
2020-02-26 09:31:01 	14d 20h 3m 	2020-03-12 05:34:20 	0h 5m
2020-02-19 20:19:26 	6d 13h 11m 	2020-02-26 09:30:51 	0h 0m
2020-02-19 07:03:18 	13h 12m 	2020-02-19 20:16:17 	0h 3m
2020-02-05 13:30:35 	13d 17h 30m 	2020-02-19 07:00:50 	0h 2m
2020-01-28 23:56:31 	7d 13h 32m 	2020-02-05 13:28:44 	0h 1m
2020-01-17 20:59:14 	11d 2h 55m 	2020-01-28 23:54:18 	0h 2m
2020-01-08 21:18:07 	8d 23h 23m 	2020-01-17 20:42:06 	0h 17m
2020-01-08 21:06:18 	0h 9m 	2020-01-08 21:15:43 	0h 2m
2020-01-08 21:00:07 	0h 4m 	2020-01-08 21:04:07 	0h 2m
2020-01-08 20:48:04 	0h 10m 	2020-01-08 20:58:26 	0h 1m
