2021-02-02 08:53:44 	14d 0h 10m 	2021-02-16 09:04:27 	64d 2h 40m
2021-01-18 12:42:25 	14d 20h 0m 	2021-02-02 08:42:34 	0h 11m
2020-11-16 06:46:18 	63d 5h 54m 	2021-01-18 12:41:10 	0h 1m
2020-11-04 22:01:00 	11d 8h 44m 	2020-11-16 06:45:28 	0h 0m
2020-11-04 08:27:38 	13h 30m 	2020-11-04 21:57:59 	0h 3m
2020-11-01 14:36:05 	2d 17h 49m 	2020-11-04 08:25:07 	0h 2m
2020-10-30 19:07:59 	1d 19h 24m 	2020-11-01 14:32:28 	0h 3m
2020-10-30 18:55:55 	0h 8m 	2020-10-30 19:04:29 	0h 3m
2020-10-30 18:49:53 	0h 2m 	2020-10-30 18:52:19 	0h 3m
2020-09-15 11:58:31 	45d 6h 47m 	2020-10-30 18:45:46 	0h 4m
2020-07-17 21:35:18 	59d 14h 22m 	2020-09-15 11:57:56 	0h 0m
2020-06-17 11:55:38 	30d 9h 28m 	2020-07-17 21:23:40 	0h 11m
2020-06-15 08:36:21 	2d 3h 18m 	2020-06-17 11:54:50 	0h 0m
2020-06-02 04:42:42 	13d 2h 40m 	2020-06-15 07:22:46 	1h 13m
2020-05-30 06:59:38 	2d 21h 39m 	2020-06-02 04:39:18 	0h 3m
2020-05-21 15:09:21 	8d 15h 48m 	2020-05-30 06:58:00 	0h 1m
2020-05-21 15:06:18 	0h 0m 	2020-05-21 15:06:20 	0h 3m
2020-05-21 02:33:20 	12h 31m 	2020-05-21 15:04:53 	0h 1m
2020-04-28 10:40:06 	22d 15h 43m 	2020-05-21 02:23:20 	0h 10m
2020-04-08 08:18:27 	20d 2h 12m 	2020-04-28 10:30:54 	0h 9m
2020-03-15 14:01:10 	23d 18h 14m 	2020-04-08 08:15:39 	0h 2m
2020-02-27 03:44:11 	17d 10h 10m 	2020-03-15 13:54:43 	0h 6m
2020-02-11 23:36:27 	15d 3h 54m 	2020-02-27 03:31:00 	0h 13m
2020-02-07 10:54:27 	4d 12h 23m 	2020-02-11 23:18:23 	0h 18m
2020-02-06 06:04:36 	1d 4h 43m 	2020-02-07 10:48:13 	0h 6m
