2021-04-16 09:16:08 	14h 57m 	2021-04-17 00:13:08 	0h 0m
2021-03-31 11:53:00 	15d 21h 20m 	2021-04-16 09:13:14 	0h 2m
2021-03-03 00:25:12 	28d 11h 15m 	2021-03-31 11:40:50 	0h 12m
2021-03-03 00:19:24 	0h 5m 	2021-03-03 00:24:57 	0h 0m
2021-03-02 16:39:30 	7h 36m 	2021-03-03 00:16:05 	0h 3m
2021-02-26 00:18:01 	4d 16h 18m 	2021-03-02 16:36:59 	0h 2m
2021-02-23 16:41:50 	2d 7h 33m 	2021-02-26 00:15:25 	0h 2m
2021-02-20 13:10:22 	3d 3h 29m 	2021-02-23 16:39:56 	0h 1m
2021-02-20 02:30:48 	0h 18m 	2021-02-20 02:49:11 	10h 21m
2021-02-19 19:15:32 	7h 3m 	2021-02-20 02:18:43 	0h 12m
2021-02-19 17:01:22 	2h 10m 	2021-02-19 19:12:04 	0h 3m
2021-02-18 10:20:38 	1d 6h 13m 	2021-02-19 16:33:58 	0h 27m
2021-02-18 09:57:00 	0h 20m 	2021-02-18 10:17:53 	0h 2m
2021-02-15 13:26:56 	0h 2m 	2021-02-15 13:29:54 	2d 20h 27m
2021-02-15 12:31:25 	0h 9m 	2021-02-15 12:40:27 	0h 46m
2021-02-10 03:30:00 	5d 8h 46m 	2021-02-15 12:16:35 	0h 14m
2021-02-02 09:40:47 	7d 17h 47m 	2021-02-10 03:27:54 	0h 2m
2021-01-30 18:13:52 	2d 15h 22m 	2021-02-02 09:36:48 	0h 3m
2021-01-06 17:58:00 	1d 23h 50m 	2021-01-08 17:48:15 	22d 0h 25m
2021-01-06 17:45:48 	0h 4m 	2021-01-06 17:50:03 	0h 7m
2021-01-03 13:44:59 	3d 3h 50m 	2021-01-06 17:35:09 	0h 10m
2021-01-02 17:01:19 	20h 41m 	2021-01-03 13:43:04 	0h 1m
2020-11-22 02:20:04 	16d 22h 32m 	2020-12-09 00:52:47 	24d 16h 8m
2020-11-16 00:14:03 	6d 1h 53m 	2020-11-22 02:07:26 	0h 12m
