2021-03-31 14:19:18 	12d 19h 39m 	2021-04-13 09:59:03 	0h 0m
2021-03-30 09:15:21 	1d 4h 56m 	2021-03-31 14:11:41 	0h 7m
2021-03-08 14:19:56 	21d 18h 52m 	2021-03-30 09:12:10 	0h 3m
2021-02-18 16:19:48 	17d 21h 27m 	2021-03-08 13:47:05 	0h 32m
2021-02-17 23:10:09 	17h 5m 	2021-02-18 16:15:23 	0h 4m
2021-02-17 20:57:52 	1h 9m 	2021-02-17 22:06:58 	1h 3m
2021-02-17 20:00:31 	0h 56m 	2021-02-17 20:57:20 	0h 0m
2021-02-17 19:07:27 	0h 24m 	2021-02-17 19:31:48 	0h 28m
2021-02-17 15:48:33 	3h 6m 	2021-02-17 18:54:34 	0h 12m
2021-02-17 08:22:04 	6h 47m 	2021-02-17 15:09:51 	0h 38m
2021-02-17 03:23:25 	4h 55m 	2021-02-17 08:19:18 	0h 2m
2021-02-16 21:41:53 	5h 39m 	2021-02-17 03:21:30 	0h 1m
2021-02-16 17:43:26 	3h 55m 	2021-02-16 21:39:11 	0h 2m
2021-02-15 11:43:01 	0h 47m 	2021-02-15 12:30:25 	1d 5h 13m
2021-01-23 14:09:17 	22d 21h 29m 	2021-02-15 11:38:49 	0h 4m
2021-01-21 07:23:40 	2d 6h 42m 	2021-01-23 14:06:31 	0h 2m
2020-12-07 11:07:12 	44d 20h 11m 	2021-01-21 07:18:55 	0h 4m
2020-12-07 08:15:28 	2h 47m 	2020-12-07 11:02:38 	0h 4m
2020-11-24 22:11:48 	12d 10h 0m 	2020-12-07 08:11:57 	0h 3m
2020-11-14 11:12:21 	10d 10h 56m 	2020-11-24 22:08:48 	0h 3m
2020-10-20 11:24:37 	24d 23h 46m 	2020-11-14 11:10:51 	0h 1m
2020-09-30 10:57:25 	20d 0h 22m 	2020-10-20 11:20:18 	0h 4m
2020-08-30 13:58:44 	30d 20h 52m 	2020-09-30 10:51:02 	0h 6m
2020-08-20 09:02:23 	10d 4h 35m 	2020-08-30 13:37:37 	0h 21m
