2021-03-31 13:00:25 	15d 14h 2m 	2021-04-16 03:02:31 	0h 0m
2021-03-31 12:45:00 	0h 6m 	2021-03-31 12:51:35 	0h 8m
2021-03-31 08:47:01 	3h 55m 	2021-03-31 12:42:04 	0h 2m
2021-03-30 09:11:53 	23h 29m 	2021-03-31 08:41:36 	0h 5m
2020-12-11 05:38:12 	109d 3h 27m 	2021-03-30 09:05:36 	0h 6m
2020-07-29 21:16:17 	134d 8h 19m 	2020-12-11 05:36:01 	0h 2m
2020-03-17 09:55:52 	134d 10h 16m 	2020-07-29 20:12:12 	1h 4m
2019-09-01 18:55:47 	197d 14h 51m 	2020-03-17 09:47:06 	0h 8m
2019-08-01 13:53:17 	31d 4h 42m 	2019-09-01 18:35:48 	0h 19m
2019-07-03 01:17:49 	29d 12h 32m 	2019-08-01 13:50:07 	0h 3m
2019-05-31 12:28:47 	32d 12h 43m 	2019-07-03 01:11:56 	0h 5m
2019-05-07 10:50:51 	24d 1h 32m 	2019-05-31 12:23:42 	0h 5m
2019-01-07 13:28:15 	119d 21h 20m 	2019-05-07 10:48:30 	0h 2m
2018-11-21 05:00:26 	47d 8h 24m 	2019-01-07 13:25:05 	0h 3m
2018-09-06 03:13:24 	76d 1h 46m 	2018-11-21 04:59:25 	0h 1m
2018-07-20 17:16:31 	47d 9h 52m 	2018-09-06 03:08:33 	0h 4m
2018-07-18 23:53:56 	1d 17h 17m 	2018-07-20 17:11:21 	0h 5m
2018-06-15 04:10:35 	33d 18h 44m 	2018-07-18 22:55:19 	0h 58m
2018-06-02 19:17:15 	12d 8h 52m 	2018-06-15 04:09:21 	0h 1m
2018-05-02 05:21:41 	31d 13h 47m 	2018-06-02 19:09:09 	0h 8m
2018-01-18 07:17:46 	103d 21h 45m 	2018-05-02 05:03:29 	0h 18m
2018-01-16 20:23:23 	1d 10h 37m 	2018-01-18 07:00:38 	0h 17m
2018-01-13 04:01:06 	3d 16h 20m 	2018-01-16 20:21:40 	0h 1m
2017-11-29 13:56:29 	44d 13h 50m 	2018-01-13 03:46:51 	0h 14m
