2020-12-28 20:28:13 	0h 57m 	2020-12-28 21:25:42 	113d 14h 18m
2020-12-22 12:08:55 	5d 19h 30m 	2020-12-28 07:39:28 	12h 48m
2020-11-23 23:32:37 	28d 12h 33m 	2020-12-22 12:06:03 	0h 2m
2020-11-22 22:22:16 	23h 23m 	2020-11-23 21:46:15 	1h 46m
2020-11-22 19:39:30 	2h 37m 	2020-11-22 22:17:27 	0h 4m
2020-11-20 15:10:17 	2d 4h 26m 	2020-11-22 19:36:28 	0h 3m
2020-11-09 23:46:52 	10d 14h 50m 	2020-11-20 14:37:42 	0h 32m
2020-10-19 17:53:05 	21d 5h 40m 	2020-11-09 23:33:35 	0h 13m
2020-10-09 05:47:13 	10d 11h 57m 	2020-10-19 17:44:48 	0h 8m
2020-09-30 01:24:29 	9d 4h 16m 	2020-10-09 05:41:20 	0h 5m
2020-09-06 00:35:36 	24d 0h 45m 	2020-09-30 01:21:02 	0h 3m
2020-09-01 00:53:54 	4d 23h 39m 	2020-09-06 00:33:42 	0h 1m
2020-08-31 18:52:17 	1h 40m 	2020-08-31 20:32:31 	4h 21m
2020-08-31 13:10:22 	3h 22m 	2020-08-31 16:33:16 	2h 19m
2020-08-31 07:02:03 	1h 31m 	2020-08-31 08:33:43 	4h 36m
2020-08-27 20:45:37 	3d 8h 0m 	2020-08-31 04:45:51 	2h 16m
2020-08-26 22:41:16 	21h 59m 	2020-08-27 20:41:13 	0h 4m
2020-08-06 12:49:08 	17d 14h 32m 	2020-08-24 03:21:56 	2d 19h 19m
2020-08-06 09:26:24 	3h 16m 	2020-08-06 12:43:10 	0h 5m
2020-08-05 03:39:21 	1d 5h 45m 	2020-08-06 09:24:43 	0h 1m
2020-07-31 05:09:39 	4d 22h 27m 	2020-08-05 03:36:59 	0h 2m
2020-07-17 05:32:20 	13d 23h 33m 	2020-07-31 05:05:56 	0h 3m
2020-07-17 05:26:07 	0h 4m 	2020-07-17 05:30:26 	0h 1m
2020-07-12 06:34:36 	4d 22h 49m 	2020-07-17 05:24:12 	0h 1m
2020-07-12 05:24:59 	1h 7m 	2020-07-12 06:32:39 	0h 1m
